,revid,parentid,user,userid,timestamp,size,anon
0,334394002,330183813,ToxicOranges,9173688,2009-12-27T23:32:22Z,11486,
1,336131905,334394002,24.12.213.139,0,2010-01-06T03:23:38Z,11556,True
2,336132228,336131905,24.12.213.139,0,2010-01-06T03:26:01Z,11571,True
3,336205258,336132228,Readin,5647774,2010-01-06T14:53:50Z,11486,
4,336850777,336205258,ArthurBot,8001475,2010-01-09T19:43:31Z,11521,
5,343822176,336850777,76.10.132.228,0,2010-02-13T21:28:33Z,11509,True
6,344184576,343822176,Kintetsubuffalo,487310,2010-02-15T10:25:24Z,11521,
7,344599939,344184576,Woohookitty,159678,2010-02-17T12:15:02Z,11555,
8,347537655,344599939,219.73.42.92,0,2010-03-03T17:14:41Z,11561,True
9,350006236,347537655,92.235.213.119,0,2010-03-15T14:21:02Z,11434,True
10,350031321,350006236,91.104.53.158,0,2010-03-15T16:57:13Z,11434,True
11,356970733,350031321,123.202.183.85,0,2010-04-19T12:12:45Z,11779,True
12,357444916,356970733,Kintetsubuffalo,487310,2010-04-21T17:49:11Z,11434,
13,358340765,357444916,123.211.5.235,0,2010-04-26T04:01:58Z,11438,True
14,360224113,358340765,Woohookitty,159678,2010-05-05T05:23:03Z,11457,
15,367862613,360224113,76.66.187.251,0,2010-06-13T23:38:46Z,11332,True
16,367862893,367862613,Derild4921,10842319,2010-06-13T23:40:52Z,11457,
17,367863849,367862893,Busha5a5a5,3012110,2010-06-13T23:47:01Z,11470,
18,369307730,367863849,SmackBot,433328,2010-06-21T05:55:53Z,11483,
19,369369223,369307730,173.166.6.145,0,2010-06-21T15:03:57Z,11487,True
20,369369889,369369223,HongQiGong,986621,2010-06-21T15:08:02Z,11509,
21,374854230,369369889,Marcika,42989,2010-07-22T13:58:04Z,11638,
22,378617972,374854230,RjwilmsiBot,10996774,2010-08-12T22:54:28Z,11675,
23,380625495,378617972,218.188.16.142,0,2010-08-24T02:36:58Z,11413,True
24,380625724,380625495,218.188.16.142,0,2010-08-24T02:38:15Z,11414,True
25,380625907,380625724,218.188.16.142,0,2010-08-24T02:39:23Z,11433,True
